,Panchy_et_al_E_signature,Panchy_et_al_M_signature
m.NCIH2227,0.008968609865470852,0.03977272727272727
m.NCIH2679,0.04932735426008968,0.03409090909090909
m.NCIH3282,0.03587443946188341,0.056818181818181816
m.HCC33,0.026905829596412557,0.017045454545454544
m.HCC970,0.008968609865470852,0.0625
m.HCC2433,0.017937219730941704,0.045454545454545456
m.HCC4000,0.05829596412556054,0.028409090909090908
m.HCC4001,0.013452914798206279,0.03977272727272727
m.HCC4003,0.04484304932735426,0.03977272727272727
m.HCC4004,0.03587443946188341,0.07386363636363637
m.HCC4005,0.03139013452914798,0.045454545454545456
m.SHP77,0.04035874439461883,0.028409090909090908
m.HCC4002,0.026905829596412557,0.07386363636363637
c.COLO668,0.09865470852017937,0.005681818181818182
c.CORL24,0.05829596412556054,0.07386363636363637
c.CORL279,0.053811659192825115,0.0625
c.CORL311,0.04484304932735426,0.03977272727272727
c.CORL47,0.04035874439461883,0.045454545454545456
c.CORL88,0.07174887892376682,0.022727272727272728
c.CORL95,0.10762331838565023,0.03977272727272727
c.DMS114,0.004484304932735426,0.056818181818181816
c.DMS153,0.1210762331838565,0.03977272727272727
c.DMS273,0.008968609865470852,0.017045454545454544
c.DMS454,0.11659192825112108,0.017045454545454544
c.DMS53,0.1210762331838565,0.011363636363636364
c.DMS79,0.04932735426008968,0.045454545454545456
c.HCC33,0.026905829596412557,0.03977272727272727
c.NCIH1048,0.04035874439461883,0.056818181818181816
c.NCIH1092,0.017937219730941704,0.045454545454545456
c.NCIH1105,0.026905829596412557,0.03977272727272727
c.NCIH1184,0.008968609865470852,0.028409090909090908
c.NCIH1339,0.013452914798206279,0.07386363636363637
c.NCIH1341,0.05829596412556054,0.045454545454545456
c.NCIH1436,0.04035874439461883,0.045454545454545456
c.NCIH146,0.04932735426008968,0.03409090909090909
c.NCIH1618,0.07174887892376682,0.045454545454545456
c.NCIH1694,0.004484304932735426,0.056818181818181816
c.NCIH1836,0.04932735426008968,0.03977272727272727
c.NCIH1876,0.06278026905829596,0.03409090909090909
c.NCIH1930,0.017937219730941704,0.03977272727272727
c.NCIH1963,0.02242152466367713,0.03977272727272727
c.NCIH196,0.02242152466367713,0.21022727272727273
c.NCIH2029,0.10762331838565023,0.03409090909090909
c.NCIH2066,0.05829596412556054,0.022727272727272728
c.NCIH2081,0.06278026905829596,0.03977272727272727
c.NCIH209,0.053811659192825115,0.028409090909090908
c.NCIH211,0.04035874439461883,0.022727272727272728
