,Panchy_et_al_E_signature,Panchy_et_al_M_signature
c.COLO668,21.298681706912266,-6.606523606868279
c.CORL24,-3.506302442688987,6.149970195964822
c.CORL279,7.274691254310176,4.260924136870938
c.CORL311,2.476522443681785,-8.109557762862991
c.CORL47,5.550073748643974,-5.900227639164795
c.CORL88,14.583369578059386,-4.245210992068307
c.CORL95,19.6674761945081,-2.4330163736948034
c.DMS114,-22.812914227811305,17.010606278445938
c.DMS153,22.99242167267439,-3.2062786350654484
c.DMS273,-21.67251252873479,8.610103031601898
c.DMS454,20.905843911994893,-7.491733818287975
c.DMS53,23.63137859323848,-4.778779981533747
c.DMS79,12.210104330854014,0.33638264190633843
c.HCC33,-6.670124957361313,-4.8201475496898265
c.NCIH1048,2.3804624029066295,9.731639512351666
c.NCIH1092,-2.9326401970030584,-5.51226668487709
c.NCIH1105,-1.2985495478497173,-4.823931097622809
c.NCIH1184,-20.773371064761612,3.874646032878695
c.NCIH1339,-17.18316352626043,22.317144419776895
c.NCIH1341,-9.642116925122284,12.774051533560117
c.NCIH1436,6.3756228370529495,-4.234376189566893
c.NCIH146,6.243269164792371,-7.520343822825009
c.NCIH1618,11.944882317781376,-4.8350001011131365
c.NCIH1694,-23.643163974055373,-1.6230113729248001
c.NCIH1836,9.542684394845557,-4.60184209579669
c.NCIH1876,6.048131937631101,3.4150613113772597
c.NCIH1930,-6.633884628626948,-2.1652914336244686
c.NCIH1963,-6.475337237014607,-5.507085529217647
c.NCIH196,-22.16019927250503,39.778455787634364
c.NCIH2029,20.051585125406568,-8.893611736576533
c.NCIH2066,-3.507067955435864,0.7717061508453126
c.NCIH2081,8.8686164448034,-2.148113857611395
c.NCIH209,8.680689323898537,-8.42806433831041
c.NCIH211,1.6958934470077627,-3.9710245894386187
c.NCIH2171,-4.342227837564879,-1.7179101750053694
c.NCIH2196,12.931275527358984,4.89866416151649
c.NCIH2227,-19.428247406398455,3.0564538715957
c.NCIH2286,-15.465227641915956,21.15314062994676
c.NCIH446,-25.208199041535273,11.21321838443981
c.NCIH510,16.471751879443946,-3.955476019012444
c.NCIH524,-22.330946864798868,1.1713068366380643
c.NCIH526,9.696138450571166,-6.140529872359708
c.NCIH69,5.754661252292665,-3.8730345194817
c.NCIH82,-24.1054186868269,1.2498265499684027
c.NCIH841,-21.852753376769865,14.083166489855383
c.NCIH889,0.6184325149484026,1.4662899661491975
c.SBC5,-19.55802790606487,10.519008412083583
c.SCLC21H,0.34442100245585394,-2.0591338618586725
c.SHP77,-5.999530659378977,-0.44128000777820736
c.SW1271,-20.06087067046207,19.664531270949624
